Common_name,median_temperature,percentile_75th,Exclude,Reason
Iron Prominent,9.456492776,9.76707592,1,75th centile temperature > 9.52
Feathered Gothic,9.482074871,9.76707592,1,75th centile temperature > 9.52
White-spotted Pug,9.497341668,9.76727511,1,75th centile temperature > 9.52
Peach Blossom,9.468040365,9.767517313,1,75th centile temperature > 9.52
Nut-tree Tussock,9.476149549,9.767712182,1,75th centile temperature > 9.52
Dark Umber,9.525094021,9.767859704,1,75th centile temperature > 9.52
Red-line Quaker,9.456339533,9.767898807,1,75th centile temperature > 9.52
Olive,9.495502561,9.768535386,1,75th centile temperature > 9.52
Green Silver-lines,9.498750445,9.769014987,1,75th centile temperature > 9.52
Bright-line Brown-eye,9.424258125,9.769219627,1,75th centile temperature > 9.52
Bedstraw Hawk-moth,9.38036682,9.769291435,1,75th centile temperature > 9.52
Striped Lychnis,9.568584543,9.769605299,1,75th centile temperature > 9.52
Old Lady,9.463958885,9.769659901,1,75th centile temperature > 9.52
September Thorn,9.485030118,9.769659901,1,75th centile temperature > 9.52
Powdered Quaker,9.487157842,9.769659901,1,75th centile temperature > 9.52
Grey Arches,9.470659234,9.769759693,1,75th centile temperature > 9.52
Flounced Chestnut,9.471264068,9.769859485,1,75th centile temperature > 9.52
Small Yellow Underwing,9.482639596,9.769959277,1,75th centile temperature > 9.52
Blue-bordered Carpet,9.405722164,9.770154226,1,75th centile temperature > 9.52
Small Fan-footed Wave,9.444433004,9.77020644,1,75th centile temperature > 9.52
Spectacle,9.429564198,9.770501181,1,75th centile temperature > 9.52
Silver Hook,9.457184263,9.770648552,1,75th centile temperature > 9.52
Least Black Arches,9.476630382,9.771272349,1,75th centile temperature > 9.52
Lead-coloured Pug,9.631844573,9.771627867,1,75th centile temperature > 9.52
Campion,9.480062312,9.773213063,1,75th centile temperature > 9.52
Garden Dart,9.482790672,9.773725057,1,75th centile temperature > 9.52
Puss Moth,9.483355396,9.773890441,1,75th centile temperature > 9.52
Slender Brindle,9.495502561,9.775487995,1,75th centile temperature > 9.52
Svensson's Copper Underwing,9.481923795,9.776027682,1,75th centile temperature > 9.52
Light Arches,9.469858292,9.776400029,1,75th centile temperature > 9.52
Herald,9.465851727,9.777008086,1,75th centile temperature > 9.52
Swallow-tailed Moth,9.47763243,9.778911623,1,75th centile temperature > 9.52
Short-cloaked Moth,9.511676835,9.780164462,1,75th centile temperature > 9.52
Barberry Carpet,9.701188774,9.781079197,1,75th centile temperature > 9.52
Dark-barred Twin-spot Carpet,9.477647094,9.781735327,1,75th centile temperature > 9.52
Scalloped Oak,9.435712212,9.782520759,1,75th centile temperature > 9.52
Drab Looper,9.64947263,9.78484097,1,75th centile temperature > 9.52
Sallow Kitten,9.472840269,9.786025119,1,75th centile temperature > 9.52
Lunar Marbled Brown,9.536726793,9.787504964,1,75th centile temperature > 9.52
Poplar Kitten,9.545285021,9.787954087,1,75th centile temperature > 9.52
Buff-tip,9.482225947,9.788644824,1,75th centile temperature > 9.52
Hornet Moth,9.645394097,9.790162389,1,75th centile temperature > 9.52
Clay,9.442479345,9.791427209,1,75th centile temperature > 9.52
Cream Wave,9.497341668,9.792131556,1,75th centile temperature > 9.52
Double-line,9.357730172,9.794065351,1,75th centile temperature > 9.52
White-mantled Wainscot,9.760734507,9.794411023,1,75th centile temperature > 9.52
Light Orange Underwing,9.64683394,9.794619011,1,75th centile temperature > 9.52
Clouded Silver,9.511254713,9.795204313,1,75th centile temperature > 9.52
Brindled Beauty,9.52498829,9.795204313,1,75th centile temperature > 9.52
Bordered Pug,9.50675203,9.795349454,1,75th centile temperature > 9.52
Elephant Hawk-moth,9.479270469,9.795646641,1,75th centile temperature > 9.52
Double Lobed,9.498421801,9.795761229,1,75th centile temperature > 9.52
Brown Scallop,9.537469586,9.795761229,1,75th centile temperature > 9.52
Frosted Orange,9.487782548,9.796996552,1,75th centile temperature > 9.52
Pale Shining Brown,9.614068435,9.796996552,1,75th centile temperature > 9.52
Marbled Clover,9.684429237,9.796996552,1,75th centile temperature > 9.52
Mottled Rustic,9.476612559,9.797300282,1,75th centile temperature > 9.52
Alder Moth,9.501764869,9.797300282,1,75th centile temperature > 9.52
Common Swift,9.487830456,9.797604012,1,75th centile temperature > 9.52
Phoenix,9.428004196,9.797907743,1,75th centile temperature > 9.52
Swallow Prominent,9.507783687,9.797907743,1,75th centile temperature > 9.52
Scarce Hook-tip,9.798211473,9.798211473,1,75th centile temperature > 9.52
Large Nutmeg,9.61129868,9.798410745,1,75th centile temperature > 9.52
Maple Prominent,9.646773484,9.798410745,1,75th centile temperature > 9.52
Buff Ermine,9.484192757,9.800158428,1,75th centile temperature > 9.52
Lunar Hornet Moth,9.482639596,9.800572568,1,75th centile temperature > 9.52
Burnet Companion,9.533358862,9.801087482,1,75th centile temperature > 9.52
Flounced Rustic,9.457538698,9.801542862,1,75th centile temperature > 9.52
Angle Shades,9.466222439,9.802653325,1,75th centile temperature > 9.52
Northern Drab,9.509036281,9.803548566,1,75th centile temperature > 9.52
Poplar Lutestring,9.538571792,9.803963491,1,75th centile temperature > 9.52
Green Pug,9.48872965,9.80398275,1,75th centile temperature > 9.52
Seraphim,9.514960673,9.805227408,1,75th centile temperature > 9.52
White-line Dart,9.437075841,9.805351081,1,75th centile temperature > 9.52
White Satin Moth,9.536025209,9.805531138,1,75th centile temperature > 9.52
Large Red-belted Clearwing,9.520897172,9.805978855,1,75th centile temperature > 9.52
Magpie Moth,9.471264068,9.808009932,1,75th centile temperature > 9.52
Chinese Character,9.487832511,9.808029385,1,75th centile temperature > 9.52
Drinker,9.48872965,9.808048837,1,75th centile temperature > 9.52
Clouded Brindle,9.525339138,9.808407147,1,75th centile temperature > 9.52
Dark Dagger,9.554349103,9.808407147,1,75th centile temperature > 9.52
Small Purple-barred,9.439921733,9.808843268,1,75th centile temperature > 9.52
Six-spot Burnet,9.4700544,9.808882174,1,75th centile temperature > 9.52
Broom-tip,9.450715107,9.80971551,1,75th centile temperature > 9.52
