Common_name,Hectad,Time_period,Exclude
Gold Spangle,SN51,2012-2016,0
Gold Spangle,SN52,1975-1991,0
Gold Spangle,SN53,2012-2016,0
Red Sword-grass,SN53,2012-2016,0
Gold Spangle,SN56,2012-2016,0
Gold Spangle,SN57,1975-1991,0
Gold Spangle,SN58,2012-2016,0
Red Sword-grass,SN58,2012-2016,0
Gold Spangle,SN62,2012-2016,0
Red Sword-grass,SN62,2012-2016,0
Gold Spangle,SN63,2012-2016,0
Red Sword-grass,SN64,2012-2016,0
Gold Spangle,SN65,1975-1991,0
Gold Spangle,SN65,2012-2016,0
Gold Spangle,SN66,1975-1991,0
Gold Spangle,SN66,2012-2016,0
Scarce Silver Y,SN66,1975-1991,0
Golden-rod Brindle,SN66,1975-1991,0
Red Sword-grass,SN66,1975-1991,0
Red Sword-grass,SN66,2012-2016,0
Red Sword-grass,SN67,1975-1991,0
Gold Spangle,SN68,1975-1991,0
Gold Spangle,SN68,2012-2016,0
Scarce Silver Y,SN68,1975-1991,0
Scarce Silver Y,SN68,2012-2016,0
Red Sword-grass,SN68,1975-1991,0
Red Sword-grass,SN68,2012-2016,0
Gold Spangle,SN69,1975-1991,0
Gold Spangle,SN69,2012-2016,0
