"Hectad","n_recs"
"SC26",11672
"SC27",4321
"SC28",1556
"SC37",983
"SC38",373
"SC39",2919
"SC47",4
"SC48",4972
"SC49",1862
"SD08",4
"SD09",376
"SD16",14
"SD17",719
"SD18",400
"SD19",415
"SD20",11225
"SD21",1105
"SD26",2782
"SD27",10188
"SD28",59
"SD29",689
"SD30",4562
"SD31",10171
"SD32",3730
"SD33",11352
"SD34",7094
"SD35",403
"SD36",326
"SD37",7881
"SD38",7828
"SD39",7829
"SD40",3207
"SD41",7650
"SD42",21694
"SD43",3061
"SD44",2750
"SD45",23792
"SD46",26060
"SD47",43302
"SD48",16202
"SD49",1661
"SD50",22699
"SD51",2745
"SD52",11660
"SD53",15961
"SD54",1856
"SD55",8416
"SD56",9392
"SD57",23587
"SD58",399
"SD59",13536
"SD60",2481
"SD61",7081
"SD62",298
"SD63",2388
"SD64",3054
"SD65",470
"SD66",20823
"SD67",4310
"SD68",250
"SD69",71
"SD70",8470
"SD71",3552
"SD72",9586
"SD73",294
"SD74",1339
"SD75",60
"SD76",5031
"SD77",6754
"SD78",798
"SD79",105
"SD80",214
"SD81",2708
"SD82",1165
"SD83",7986
"SD84",169
"SD85",243
"SD86",18608
"SD87",35
"SD88",144
"SD89",244
"SD90",389
"SD91",2575
"SD92",742
"SD93",98
"SD94",48
"SD95",1988
"SD96",1551
"SD97",207
"SD98",608
"SD99",233
"SE00",622
"SE01",1930
"SE02",1848
"SE03",290
"SE04",446
"SE05",290
"SE06",2711
"SE07",47
"SE08",637
"SE09",624
"SE10",457
"SE11",4210
"SE12",4568
"SE13",11487
"SE14",27405
"SE15",1490
"SE16",666
"SE17",455
"SE18",4265
"SE19",2412
"SE20",1141
"SE21",4811
"SE22",944
"SE23",12835
"SE24",2699
"SE25",18397
"SE26",3961
"SE27",32135
"SE28",567
"SE29",906
"SE30",3629
"SE31",7383
"SE32",131
"SE33",27335
"SE34",1897
"SE35",16820
"SE36",3056
"SE37",50188
"SE38",110
"SE39",3185
"SE40",39247
"SE41",1252
"SE42",7770
"SE43",6919
"SE44",19514
"SE45",164
"SE46",366
"SE47",2208
"SE48",683
"SE49",132
"SE50",10384
"SE51",21480
"SE52",195
"SE53",318
"SE54",16937
"SE55",7780
"SE56",544
"SE57",11748
"SE58",675
"SE59",526
"SE60",10046
"SE61",1560
"SE62",212
"SE63",1060
"SE64",18866
"SE65",30670
"SE66",1787
"SE67",70
"SE68",445
"SE69",186
"SE70",1068
"SE71",5921
"SE72",403
"SE73",45
"SE74",8964
"SE75",233
"SE76",355
"SE77",2144
"SE78",146
"SE79",258
"SE80",36
"SE81",67
"SE82",5281
"SE83",8435
"SE84",12366
"SE85",182
"SE86",371
"SE87",616
"SE88",1912
"SE89",1287
"SE90",165
"SE91",1
"SE92",97
"SE93",494
"SE94",28536
"SE95",4068
"SE96",173
"SE97",252
"SE98",14229
"SE99",1475
"SH12",15822
"SH13",63
"SH22",177
"SH23",1643
"SH24",21
"SH27",4900
"SH28",1019
"SH29",16
"SH32",1319
"SH33",181
"SH34",205
"SH36",553
"SH37",615
"SH38",105
"SH39",2371
"SH43",15
"SH44",142
"SH45",1173
"SH46",12284
"SH47",4476
"SH48",5669
"SH49",5526
"SH50",320
"SH51",12
"SH52",4266
"SH53",8708
"SH54",413
"SH55",2079
"SH56",2087
"SH57",45521
"SH58",2256
"SH60",56
"SH61",4404
"SH62",821
"SH63",228
"SH64",2766
"SH65",70
"SH66",3230
"SH67",4811
"SH68",1955
"SH70",745
"SH71",637
"SH72",866
"SH73",289
"SH74",119
"SH75",912
"SH76",2364
"SH77",12310
"SH78",563
"SH80",31775
"SH81",176
"SH82",29
"SH83",1692
"SH84",95
"SH85",1495
"SH86",4
"SH87",2255
"SH88",39
"SH90",15
"SH91",1095
"SH92",781
"SH93",793
"SH94",32
"SH95",195
"SH96",201
"SH97",332
"SJ00",195
"SJ01",4255
"SJ02",558
"SJ03",78
"SJ04",55
"SJ05",47
"SJ06",2066
"SJ07",7097
"SJ08",1799
"SJ10",153
"SJ11",772
"SJ12",1819
"SJ13",37
"SJ14",33
"SJ15",5960
"SJ16",243
"SJ17",685
"SJ18",2045
"SJ20",1005
"SJ21",3427
"SJ22",4170
"SJ23",5470
"SJ24",224
"SJ25",3413
"SJ26",228
"SJ27",2151
"SJ28",12855
"SJ29",1243
"SJ30",809
"SJ31",18345
"SJ32",1249
"SJ33",374
"SJ34",533
"SJ35",10980
"SJ36",9868
"SJ37",25856
"SJ38",5564
"SJ39",6656
"SJ40",596
"SJ41",19502
"SJ42",176
"SJ43",10009
"SJ44",2238
"SJ45",2276
"SJ46",31118
"SJ47",19611
"SJ48",13042
"SJ49",2355
"SJ50",143
"SJ51",1425
"SJ52",278
"SJ53",1187
"SJ54",2052
"SJ55",12892
"SJ56",2566
"SJ57",9597
"SJ58",17437
"SJ59",10022
"SJ60",4188
"SJ61",7114
"SJ62",4822
"SJ63",333
"SJ64",43452
"SJ65",27483
"SJ66",4079
"SJ67",19557
"SJ68",2116
"SJ69",7085
"SJ70",361
"SJ71",2365
"SJ72",816
"SJ73",2864
"SJ74",18510
"SJ75",17288
"SJ76",3077
"SJ77",22181
"SJ78",6928
"SJ79",25980
"SJ80",772
"SJ81",446
"SJ82",22697
"SJ83",3502
"SJ84",27940
"SJ85",30426
"SJ86",1537
"SJ87",6607
"SJ88",33957
"SJ89",3422
"SJ90",7818
"SJ91",6912
"SJ92",4910
"SJ93",4190
"SJ94",2858
"SJ95",3702
"SJ96",1510
"SJ97",4428
"SJ98",95491
"SJ99",6203
"SK00",4554
"SK01",1892
"SK02",922
"SK03",59
"SK04",2301
"SK05",7986
"SK06",1354
"SK07",4085
"SK08",12416
"SK09",537
"SK10",2389
"SK11",236
"SK12",253
"SK13",31
"SK14",225
"SK15",840
"SK16",518
"SK17",316
"SK18",76
"SK19",232
"SK20",3517
"SK21",1007
"SK22",8026
"SK23",3919
"SK24",34
"SK25",265
"SK26",8792
"SK27",1806
"SK28",412
"SK29",376
"SK30",352
"SK31",3627
"SK32",4172
"SK33",8737
"SK34",4655
"SK35",551
"SK36",9021
"SK37",2476
"SK38",2365
"SK39",7673
"SK40",11552
"SK41",8324
"SK42",535
"SK43",17936
"SK44",6946
"SK45",226
"SK46",16533
"SK47",268
"SK48",769
"SK49",10076
"SK50",22712
"SK51",23633
"SK52",5531
"SK53",9528
"SK54",10697
"SK55",6267
"SK56",4820
"SK57",706
"SK58",2330
"SK59",5280
"SK60",29343
"SK61",6083
"SK62",826
"SK63",11669
"SK64",346
"SK65",1728
"SK66",2965
"SK67",1109
"SK68",7195
"SK69",8729
"SK70",4830
"SK71",5835
"SK72",757
"SK73",2832
"SK74",1899
"SK75",835
"SK76",14
"SK77",3637
"SK78",1589
"SK79",5915
"SK80",11712
"SK81",809
"SK82",346
"SK83",415
"SK85",109
"SK86",979
"SK87",1
"SK88",2
"SK89",40
"SK90",31207
"SK91",2968
"SK92",2
"SK93",32
"SK94",5059
"SK96",237
"SK97",8570
"SM50",12
"SM62",43
"SM70",15284
"SM71",10
"SM72",3552
"SM73",66
"SM80",21418
"SM81",389
"SM82",1577
"SM83",376
"SM84",33
"SM90",3703
"SM91",535
"SM92",6444
"SM93",28195
"SM94",17
"SN00",10255
"SN01",4835
