"HECTAD","TIME.PERIOD","EASTING","NORTHING","HECTAD.SR","REGION.SR","PERCENT.RECORDED","RECORDING.LEVEL","lon","lat"
"SN80","1975-1991",280000,200000,20,589,3.3955857385399,"Recorded",-3.73726955992536,51.6858955378957
"SN81","2012-2016",280000,210000,74,571,12.9597197898424,"Well recorded",-3.74071983450964,51.7757651533504
"SN81","1975-1991",280000,210000,6,580,1.03448275862069,"Recorded",-3.74071983450964,51.7757651533504
"SN82","2012-2016",280000,220000,6,564,1.06382978723404,"Recorded",-3.74418812560117,51.8656332210149
"SN82","1975-1991",280000,220000,8,577,1.38648180242634,"Recorded",-3.74418812560117,51.8656332210149
"SN83","2012-2016",280000,230000,306,556,55.0359712230216,"Heavily recorded",-3.74767455800855,51.9554997408103
"SN83","1975-1991",280000,230000,13,579,2.24525043177893,"Recorded",-3.74767455800855,51.9554997408103
"SN84","2012-2016",280000,240000,136,558,24.3727598566308,"Well recorded",-3.75117925772761,52.04536471266
"SN84","1975-1991",280000,240000,21,563,3.73001776198934,"Recorded",-3.75117925772761,52.04536471266
"SN85","2012-2016",280000,250000,102,546,18.6813186813187,"Well recorded",-3.75470235195542,52.1352281364899
"SN85","1975-1991",280000,250000,3,549,0.546448087431694,"Recorded",-3.75470235195542,52.1352281364899
"SN86","2012-2016",280000,260000,62,541,11.460258780037,"Well recorded",-3.75824396910449,52.2250900122277
"SN86","1975-1991",280000,260000,13,547,2.37659963436929,"Recorded",-3.75824396910449,52.2250900122277
"SN87","2012-2016",280000,270000,62,535,11.588785046729,"Well recorded",-3.76180423881724,52.3149503398034
"SN87","1975-1991",280000,270000,8,547,1.46252285191956,"Recorded",-3.76180423881724,52.3149503398034
"SN88","2012-2016",280000,280000,128,543,23.572744014733,"Well recorded",-3.76538329198059,52.4048091191486
"SN88","1975-1991",280000,280000,27,539,5.00927643784787,"Recorded",-3.76538329198059,52.4048091191486
"SN89","2012-2016",280000,290000,157,547,28.7020109689214,"Heavily recorded",-3.76898126074079,52.4946663501965
"SN89","1975-1991",280000,290000,231,547,42.2303473491773,"Heavily recorded",-3.76898126074079,52.4946663501965
"SN90","2012-2016",290000,200000,152,593,25.6323777403035,"Heavily recorded",-3.59267665302705,51.6879456323969
"SN90","1975-1991",290000,200000,74,599,12.3539232053422,"Well recorded",-3.59267665302705,51.6879456323969
"SN92","2012-2016",290000,220000,267,573,46.5968586387435,"Heavily recorded",-3.59902009857507,51.8676965053538
"SN92","1975-1991",290000,220000,135,580,23.2758620689655,"Well recorded",-3.59902009857507,51.8676965053538
"SN94","2012-2016",290000,240000,140,546,25.6410256410256,"Heavily recorded",-3.60543008582853,52.0474412919357
"SN94","1975-1991",290000,240000,20,564,3.54609929078014,"Recorded",-3.60543008582853,52.0474412919357
"SN95","2012-2016",290000,250000,245,550,44.5454545454545,"Heavily recorded",-3.60866032217725,52.1373114031249
"SN95","1975-1991",290000,250000,318,548,58.029197080292,"Heavily recorded",-3.60866032217725,52.1373114031249
"SN96","2012-2016",290000,260000,341,541,63.0314232902033,"Heavily recorded",-3.6119075436656,52.2271799930749
"SN96","1975-1991",290000,260000,279,546,51.0989010989011,"Heavily recorded",-3.6119075436656,52.2271799930749
"SN97","2012-2016",290000,270000,205,543,37.7532228360958,"Heavily recorded",-3.6151718691943,52.3170470619121
"SN97","1975-1991",290000,270000,10,549,1.82149362477231,"Recorded",-3.6151718691943,52.3170470619121
"SN98","2012-2016",290000,280000,282,544,51.8382352941176,"Heavily recorded",-3.61845341880567,52.4069126097664
"SN98","1975-1991",290000,280000,27,552,4.89130434782609,"Recorded",-3.61845341880567,52.4069126097664
"SN99","2012-2016",290000,290000,89,543,16.390423572744,"Well recorded",-3.62175231369731,52.4967766367713
"SN99","1975-1991",290000,290000,6,550,1.09090909090909,"Recorded",-3.62175231369731,52.4967766367713
"SO00","2012-2016",300000,200000,311,599,51.9198664440735,"Heavily recorded",-3.44806733901819,51.6898178003968
"SO00","1975-1991",300000,200000,101,605,16.6942148760331,"Well recorded",-3.44806733901819,51.6898178003968
"SO02","2012-2016",300000,220000,240,582,41.2371134020619,"Heavily recorded",-3.45383543658599,51.8695807194825
"SO02","1975-1991",300000,220000,46,586,7.84982935153584,"Recorded",-3.45383543658599,51.8695807194825
"SO03","2012-2016",300000,230000,262,572,45.8041958041958,"Heavily recorded",-3.45674212516898,51.9594599324934
"SO03","1975-1991",300000,230000,16,570,2.80701754385965,"Recorded",-3.45674212516898,51.9594599324934
"SO04","2012-2016",300000,240000,200,551,36.2976406533575,"Heavily recorded",-3.4596640467577,52.0493376481998
"SO04","1975-1991",300000,240000,9,565,1.5929203539823,"Recorded",-3.4596640467577,52.0493376481998
"SO05","2012-2016",300000,250000,334,563,59.3250444049734,"Heavily recorded",-3.46260130745703,52.1392138668965
"SO05","1975-1991",300000,250000,328,565,58.0530973451327,"Heavily recorded",-3.46260130745703,52.1392138668965
"SO06","2012-2016",300000,260000,177,559,31.6636851520572,"Heavily recorded",-3.46555401438619,52.2290885888838
"SO06","1975-1991",300000,260000,200,555,36.036036036036,"Heavily recorded",-3.46555401438619,52.2290885888838
"SO07","2012-2016",300000,270000,129,555,23.2432432432432,"Well recorded",-3.46852227569074,52.3189618144677
"SO07","1975-1991",300000,270000,1,557,0.179533213644524,"Recorded",-3.46852227569074,52.3189618144677
"SO08","2012-2016",300000,280000,133,552,24.0942028985507,"Well recorded",-3.47150620055484,52.4088335439592
"SO08","1975-1991",300000,280000,237,551,43.0127041742287,"Heavily recorded",-3.47150620055484,52.4088335439592
"SO09","2012-2016",300000,290000,153,543,28.1767955801105,"Heavily recorded",-3.47450589921358,52.498703777675
"SO09","1975-1991",300000,290000,296,562,52.6690391459075,"Heavily recorded",-3.47450589921358,52.498703777675
"SO10","2012-2016",310000,200000,275,596,46.1409395973154,"Heavily recorded",-3.30344310452128,51.6915119971087
"SO10","1975-1991",310000,200000,77,600,12.8333333333333,"Well recorded",-3.30344310452128,51.6915119971087
"SO11","2012-2016",310000,210000,328,591,55.4991539763113,"Heavily recorded",-3.30603261273667,51.7813996457283
"SO11","1975-1991",310000,210000,69,585,11.7948717948718,"Well recorded",-3.30603261273667,51.7813996457283
"SO12","2012-2016",310000,220000,361,583,61.9210977701544,"Heavily recorded",-3.30863564686847,51.8712858180402
"SO12","1975-1991",310000,220000,188,577,32.5823223570191,"Heavily recorded",-3.30863564686847,51.8712858180402
